hospital,servico,disponivel,observacao,atualizado_em,fonte
Hospital Argeu Braga Herbster,Cirúrgica,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Argeu Braga Herbster,Clínica Médica,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Argeu Braga Herbster,Obstetrícia,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Argeu Braga Herbster,Pediatria,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Celestina Colares,Leitos Clínicos de Retaguarda,sim,,2026-06-06,REG_LITORAL_LESTE_FINAL.pdf / Quadro 11
Hospital Cura D Ars,Neonatal,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Cura D Ars,Obstetrícia,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Deputado Murilo Aguiar,UTI Adulto (10 leitos),sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital Estadual Leonardo da Vinci - HELV,Hospital Geral,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Eudásio Barroso,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Eudásio Barroso,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Eudásio Barroso,Traumato Ortopedia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Geral Dr. César Cals,Hospital Geral,sim,Registro histórico do PSR 2022. Habilitações assistenciais transferidas para o HUC conforme Resolução CIB/CE 903/2025; validar operação atual antes de usar como destino.,2026-06-06,PSR Fortaleza 2022; Resolução CIB/CE 903/2025
Hospital Geral Dr. Waldemar de Alcântara,Hospital Geral,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Geral Luiza Alcântara,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Geral Luiza Alcântara,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Geral Luiza Alcântara,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Geral Luiza Alcântara,UTI Adulto,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Geral de Fortaleza,Hospital Geral,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Infantil Albert Sabin,Pediatria,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Manuel Assunção Pires,Obstetrícia,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Monsenhor Dourado,Clínica Médica,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Monsenhor Dourado,Obstetrícia,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Municipal Abelardo Gadelha da Rocha,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Abelardo Gadelha da Rocha,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Abelardo Gadelha da Rocha,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Abelardo Gadelha da Rocha,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Abelardo Gadelha da Rocha,Traumato Ortopedia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Abelardo Gadelha da Rocha,UTI Adulto,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Amadeu Sá,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Amadeu Sá,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Amadeu Sá,UTI Adulto,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Dr. Pontes Neto,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Dr. Pontes Neto,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Dr. Pontes Neto,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Dr. Pontes Neto,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Dr. Pontes Neto,Porta de Entrada RUE Geral,sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Municipal Dr. Pontes Neto,Traumato Ortopedia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Eduardo Dias,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Eduardo Dias,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Eduardo Dias,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Eduardo Dias,Traumato Ortopedia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Jesus Maria José,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Jesus Maria José,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Jesus Maria José,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Jesus Maria José,Neonatal,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Jesus Maria José,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Jesus Maria José,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Jesus Maria José,Porta de Entrada RUE Geral,sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Municipal Jesus Maria José,UTI Adulto,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Jesus Maria José,UTI Adulto Tipo II (7 leitos),sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Municipal Jesus Maria José,UTI Neonatal,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal José Pinto do Carmo,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal José Pinto do Carmo,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal José Pinto do Carmo,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal João Elísio de Holanda,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal João Elísio de Holanda,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal João Elísio de Holanda,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal João Elísio de Holanda,Neonatal,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal João Elísio de Holanda,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal João Elísio de Holanda,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal João Elísio de Holanda,UTI Adulto,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Nossa Senhora das Graças,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Nossa Senhora das Graças,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Nossa Senhora das Graças,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Santa Izabel,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Santa Izabel,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Santa Izabel,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Santa Izabel,Traumato Ortopedia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal Santa Izabel,UTI Adulto,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Municipal de Acaraú,Cirurgia Geral,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital Municipal de Acaraú,Clínica Médica,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital Municipal de Acaraú,Traumato Ortopedia Adulto,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital Municipal de Acaraú,Traumato Ortopedia Pediátrica,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital Municipal de Acaraú,UTI Adulto,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital Paulo Sarasate,Cirúrgica,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Paulo Sarasate,Clínica Médica,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Paulo Sarasate,Obstetrícia,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Paulo Sarasate,Pediatria,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital Regional Francisco Galvão,Leitos Clínicos de Retaguarda,sim,,2026-06-06,REG_LITORAL_LESTE_FINAL.pdf / Quadro 11
Hospital Regional São Francisco,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Regional São Francisco,Anestesiologia 2,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Regional São Francisco,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Regional São Francisco,Clínica Médica,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Regional São Francisco,Leitos Clínicos de Retaguarda,sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Regional São Francisco,Neonatal,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Regional São Francisco,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Regional São Francisco,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Regional São Francisco,Porta de Entrada RUE Geral,sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Regional São Francisco,Traumato Ortopedia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Regional São Francisco,UTI Adulto,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Regional São Francisco,UTI Adulto Tipo II (7 leitos),sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Regional Vale do Jaguaribe,Alta Complexidade em Traumatologia,sim,,2026-06-06,REG_LITORAL_LESTE_FINAL.pdf / Quadro 11
Hospital Regional Vale do Jaguaribe,Leitos Clínicos de Retaguarda,sim,,2026-06-06,REG_LITORAL_LESTE_FINAL.pdf / Quadro 11
Hospital Regional Vale do Jaguaribe,UTI Adulto (implantação 10 leitos),sim,,2026-06-06,REG_LITORAL_LESTE_FINAL.pdf / Quadro 11
Hospital Regional Vale do Jaguaribe,UTI Infantil (implantação 10 leitos),sim,,2026-06-06,REG_LITORAL_LESTE_FINAL.pdf / Quadro 11
Hospital Regional Vale do Jaguaribe,Unidade Coronariana - UCO (implantação 10 leitos),sim,,2026-06-06,REG_LITORAL_LESTE_FINAL.pdf / Quadro 11
Hospital Regional do Sertão Central,Leitos Clínicos de Retaguarda,sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Regional do Sertão Central,Porta de Entrada RUE Tipo I,sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Regional do Sertão Central,UTI Adulto Tipo II (24 leitos),sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Regional do Sertão Central,Unidade de AVC Agudo (10 leitos),sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Regional do Sertão Central,Unidade de AVC Integral (10 leitos),sim,,2026-06-06,REG_SERTAO_CENTRAL_FINAL.pdf / Proposta RUE 2022
Hospital Santa Luísa de Marillac,Anestesiologia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Santa Luísa de Marillac,Cirurgia Geral,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Santa Luísa de Marillac,Neonatal,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Santa Luísa de Marillac,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Santa Luísa de Marillac,Pediatria,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital Santa Terezinha,Obstetrícia,sim,,2026-06-06,ATENDIMENTO DOS HOSPITAIS POLOS.pdf / Resolução nº 825/2025-CIB/CE
Hospital São José,Hospital Geral,sim,,2026-06-06,"REG_FORTALEZA_FINAL.pdf / Tabelas 33, 35"
Hospital São Lucas,Serviço de Alta Complexidade de Traumato Ortopedia,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital São Lucas,UNACON,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
Hospital São Lucas,UTI Pediátrica,sim,,2026-06-06,REG_SOBRAL_FINAL.pdf / Quadro 26
